,,Page Name,Page ID,Candidates Mentioned+,# of Candidates Mentioned,Approx. Spend on Mentions^,# of Ads Mentioning,Total Spend++,Total # of Ads,Sponsor Name(s),Candidate Page
92,⊕,CFG Action,7.00806E+14,"Donald Trump (293), Joseph Biden (156), Robert Marshall* (9)",3,"$263,602 ",458,"$1,495,599 ","5,734",CLUB FOR GROWTH ACTION,0
93,⊕,Clueless Cal,1.0305E+14,"Cal Cunningham* (291), Donald Trump (22), Thom Tillis* (22)",3,"$286,246 ",335,"$286,246 ","2,772",NATIONAL REPUBLICAN SENATORIAL CMTE,0
94,⊕,Committee to Protect Medicare,2.60366E+14,"Donald Trump (735), Mitch McConnell* (9), Joseph Biden (8)",3,"$86,440 ",752,"$213,942 ","8,132",COMMITTEE TO PROTECT MEDICARE PAC,0
95,⊕,Concerned Veterans for America,1.58791E+14,"Donald Trump (52), Bill Cassidy* (1), Susan Collins* (1)",3,"$107,647 ",54,"$723,884 ","17,240",CONCERNED VETERANS FOR AMERICA,0
96,⊕,Congressional Leadership Fund,7.47437E+14,"Donald Trump (113), Joseph Biden (22), Scott Taylor* (9)",3,"$38,166 ",144,"$803,379 ","3,145",CONGRESSIONAL LEADERSHIP FUND,0
97,⊕,CVA_Action,3.25778E+14,"Thom Tillis* (10), Steve Daines* (9), John Cornyn* (6)",3,"$28,251 ",25,"$56,582 ",324,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",0
98,⊕,Daniel Gade,1.02989E+14,"Daniel McCarthy* (144), Mark Warner* (26), Donald Trump (3)",3,"$47,404 ",173,"$47,521 ","2,133","GADE, DANIEL MACARTHUR MR.",1
99,⊕,Dr. Al Gross for US Senate,8.19607E+14,"Daniel S. Sullivan* (99), Mitch McConnell* (42), Donald Trump (7)",3,"$43,423 ",148,"$143,990 ","2,414","GROSS, AL DR.",1
100,⊕,Ed Markey,3.03168E+14,"Joseph Kennedy III* (404), Mitch McConnell* (62), Donald Trump (20)",3,"$47,952 ",486,"$443,213 ","6,338","MARKEY, EDWARD J. SEN.",1
101,⊕,Facts First,1.06158E+14,"Donald Trump (2870), Joseph Biden (41), Gary Peters* (2)",3,"$954,676 ","2,913","$1,579,245 ","31,893",PRIORITIES USA ACTION,0
102,⊕,Ilhan Omar,7.80941E+14,"Donald Trump (558), Mitch McConnell* (71), Tina Smith* (2)",3,"$26,693 ",631,"$267,070 ","16,636","OMAR, ILHAN",1
103,⊕,Issue One Action,3.29285E+14,"Joni Ernst* (72), Mitch McConnell* (72), Thom Tillis* (72)",3,"$27,056 ",216,"$148,676 ","5,290",NA,0
104,⊕,Jaime Harrison,3.28073E+14,"Lindsey Graham* (1291), Donald Trump (70), Mitch McConnell* (24)",3,"$4,694,448 ","1,385","$6,350,489 ","21,683","HARRISON, JAIME",1
105,⊕,Jason Lewis,1.30468E+11,"Donald Trump (127), Tina Smith* (56), Joseph Biden (6)",3,"$64,537 ",189,"$307,061 ","4,130","LEWIS, JASON, LEWIS, JASON MARK MR.",1
106,⊕,LCV Victory Fund,1.71287E+14,"Donald Trump (2095), Joseph Biden (18), Cory Gardner* (6)",3,"$232,277 ","2,119","$1,868,973 ","31,505",LCV VICTORY FUND,0
107,⊕,Maine Together,1.05595E+14,"Sara Gideon* (57), Donald Trump (55), Susan Collins* (55)",3,"$269,480 ",167,"$269,480 ","1,202",PRIORITIES USA ACTION; SENATE MAJORITY PAC,0
108,⊕,Mike Bloomberg,6756153498,"Mitch McConnell* (51), Donald Trump (3), Joseph Biden (2)",3,"$53,907 ",56,"$153,938 ",33,"BLOOMBERG PHILANTHROPIES, BLOOMBERG, MICHAEL R., INDEPENDENCE USA PAC, INDEPENDENCE USA. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE., THE CAMPAIGN FOR TOBACCO-FREE KIDS",1
109,⊕,Mike Espy,2.08186E+15,"Cindy Hyde-Smith* (1359), Mitch McConnell* (161), Donald Trump (8)",3,"$39,771 ","1,528","$125,174 ","6,640","ESPY, MICHAEL",1
110,⊕,MN vs Trump,1.02595E+14,"Donald Trump (3442), Joseph Biden (93), Mitch McConnell* (64)",3,"$198,878 ","3,599","$226,697 ","41,048",ALLIANCE FOR A BETTER MINNESOTA FEDERAL PAC,0
111,⊕,Nancy Pelosi,1.71147E+15,"Donald Trump (138), Mitch McConnell* (59), Joseph Biden (30)",3,"$344,021 ",227,"$1,656,685 ","10,616","PELOSI, NANCY",1
112,⊕,National Nurses United,1.396E+11,"Donald Trump (120), Mitch McConnell* (23), Susan Collins* (2)",3,"$53,422 ",145,"$240,397 ","3,593","BE A HERO PAC, NATIONAL NURSES UNITED",0
113,⊕,Piedmont Rising,2.52435E+15,"Thom Tillis* (50), Donald Trump (10), Cal Cunningham* (2)",3,"$29,578 ",62,"$152,543 ",947,NA,0
114,⊕,Project Pulso,2.07865E+15,"Donald Trump (212), Joseph Biden (34), Bryant Messner* (2)",3,"$28,396 ",248,"$615,700 ","11,378",NA,0
115,⊕,Proud Patriots,2.35354E+15,"Donald Trump (2011), Joseph Biden (20), Scyller Borglum* (16)",3,"$205,745 ","2,047","$608,917 ","21,920",NA,0
116,⊕,Raja for Congress,96171427550,"Donald Trump (176), Joseph Biden (15), Mitch McConnell* (12)",3,"$28,134 ",203,"$95,999 ","9,051","KRISHNAMOORTHI, S. RAJA",1
117,⊕,Republican Voters Against Trump,1.14626E+14,"Donald Trump (1201), Joseph Biden (56), Lindsey Graham* (8)",3,"$3,857,232 ","1,265","$3,857,232 ","4,258",REPUBLICAN VOTERS AGAINST TRUMP,0
118,⊕,SEIU,19972147679,"Donald Trump (1740), Joseph Biden (216), Cory Gardner* (26)",3,"$69,326 ","1,982","$970,630 ","25,582","SEIU, SERVICE EMPLOYEES INTERNATIONAL UNION",0
119,⊕,SEIU Virginia,1.09042E+14,"Joseph Biden (82), Donald Trump (16), Scott Taylor* (3)",3,"$51,331 ",101,"$51,331 ","2,369",NA,0
120,⊕,Sierra Club,6204742571,"Donald Trump (733), Tom Cotton* (5), Mitch McConnell* (2)",3,"$28,228 ",740,"$806,942 ","28,335","SIERRA CLUB, SIERRA CLUB INDEPENDENT ACTION",0
121,⊕,Students for Trump,5.37534E+14,"Donald Trump (489), Joseph Biden (58), Mitch McConnell* (1)",3,"$57,169 ",548,"$57,371 ","2,651",STUDENTS FOR TRUMP,0
122,⊕,The 'Gander Newsroom,1.10747E+14,"Donald Trump (124), Donald Trump (124), Joseph Biden (89)",3,"$235,548 ",337,"$535,636 ","3,831",COURIER NEWSROOM,0
123,⊕,The FYI,1.0539E+14,"Donald Trump (1085), Joseph Biden (481), Jeff Sessions* (36)",3,"$186,874 ","1,602","$186,874 ","9,242",NA,0
124,⊕,Wendy Davis,1.01501E+16,"Mitch McConnell* (498), Joseph Biden (247), Donald Trump (84)",3,"$45,272 ",829,"$299,309 ","24,158","DAVIS, WENDY",1
125,⊕,Wrong Path McGrath,5.94179E+14,"Amy McGrath* (41), Donald Trump (7), Charles Booker* (2)",3,"$361,413 ",50,"$379,189 ",198,"MCCONNELL, MITCH",1
126,⊕,Abby Broyles,5.82294E+14,"Jim Inhofe* (124), Donald Trump (2)",2,"$35,837 ",126,"$65,750 ","2,365","BROYLES, ABBY",1
127,⊕,Adam Schiff,1.09092E+14,"Donald Trump (544), Mitch McConnell* (28)",2,"$36,101 ",572,"$517,989 ","6,161","SCHIFF, ADAM",1
128,⊕,America First Action,3.32716E+14,"Joseph Biden (3198), Donald Trump (2494)",2,"$888,041 ","5,692","$1,870,280 ","27,209",AMERICA FIRST ACTION,0
129,⊕,American Herald,1.02782E+14,"Joseph Biden (454), Donald Trump (20)",2,"$56,719 ",474,"$66,822 ","3,054",AMERICA FIRST ACTION,0
130,⊕,Arizona Ready,1.08661E+14,"Donald Trump (128), Martha McSally* (10)",2,"$35,415 ",138,"$36,347 ",481,NA,0
131,⊕,Balance of Power,3.28854E+14,"Joseph Biden (1273), Donald Trump (1067)",2,"$745,133 ","2,340","$1,365,539 ","23,039",NA,0
132,⊕,Black Voices for Trump,6.07626E+14,"Donald Trump (3536), Joseph Biden (96)",2,"$368,699 ","3,632","$368,699 ","26,658","TRUMP, DONALD J.",1
133,⊕,Brad Parscale,1.74569E+15,"Donald Trump (5355), Joseph Biden (1569)",2,"$808,114 ","6,924","$808,114 ","20,190","TRUMP, DONALD J.",1
134,⊕,Captain Mark Kelly,1.63149E+14,"Martha McSally* (192), Mitch McConnell* (64)",2,"$30,056 ",256,"$2,927,472 ","19,268","KELLY, MARK",1
135,⊕,Center For American Progress Action Fund,72186095846,"Donald Trump (78), Bryant Messner* (8)",2,"$28,859 ",86,"$1,402,254 ","7,634",NA,0
136,⊕,Conservation Colorado,4.04929E+14,"Cory Gardner* (415), Donald Trump (14)",2,"$30,419 ",429,"$45,994 ",901,CONSERVATION COLORADO,0
137,⊕,Cost of Chaos,1.0136E+14,"Donald Trump (6719), Joseph Biden (2160)",2,"$3,144,366 ","8,879","$3,902,868 ","93,706",PRIORITIES USA ACTION,0
138,⊕,Defend Your Police,1.00926E+14,"Donald Trump (1), Joseph Biden (1)",2,"$47,000 ",2,"$47,000 ",35,NA,0
139,⊕,Dems For USA,1.01127E+14,"Joseph Biden (98), Donald Trump (2)",2,"$64,342 ",100,"$90,266 ","2,565",NA,0
140,⊕,Devin Nunes,8.34645E+14,"Donald Trump (94), Joseph Biden (1)",2,"$25,508 ",95,"$400,650 ","1,621","NUNES, DEVIN G.",1
141,⊕,Donald Trump 2020 Fans,2.26729E+15,"Donald Trump (1465), Joseph Biden (26)",2,"$832,909 ","1,491","$846,785 ","19,326","I LOVE MY FREEDOM, MAKING WEB",0
142,⊕,Doug Jones for Senate,4.29812E+14,"Mitch McConnell* (736), Tommy Tuberville* (575)",2,"$165,342 ","1,311","$545,331 ","43,769","JONES, DOUG",1
143,⊕,Evangelicals for Trump,1.00561E+14,"Donald Trump (2641), Joseph Biden (468)",2,"$338,658 ","3,109","$338,658 ","13,375","TRUMP, DONALD J.",1
144,⊕,Every Single Vote,1.00722E+14,"Donald Trump (4), Mitch McConnell* (1)",2,"$33,922 ",5,"$33,922 ",154,NA,0
145,⊕,Floricuas,1.43061E+14,"Donald Trump (29), Joseph Biden (21)",2,"$26,952 ",50,"$26,952 ","1,208",NA,0
146,⊕,Food & Water Watch,50982313030,"Donald Trump (409), Mitch McConnell* (42)",2,"$33,011 ",451,"$131,891 ","9,295",FOOD & WATER WATCH,0
147,⊕,Forward Arizona,1.01591E+14,"Martha McSally* (68), Mark Kelly* (8)",2,"$274,086 ",76,"$491,474 ",822,PRIORITIES USA ACTION; SENATE MAJORITY PAC,0
148,⊕,GOP,1.23193E+11,"Donald Trump (686), Joseph Biden (120)",2,"$25,822 ",806,"$2,893,638 ","193,281",REPUBLICAN NATIONAL CMTE,0
149,⊕,Hard Left Hegar,1.06138E+14,"John Cornyn* (18), M.J. Hegar* (18)",2,"$48,562 ",36,"$48,562 ",180,TEXANS FOR A CONSERVATIVE MAJORITY,0
150,⊕,Honest Arizona,1.04007E+14,"Martha McSally* (165), Donald Trump (4)",2,"$129,416 ",169,"$163,101 ","1,516","ADVANCING AZ, HONEST ARIZONA",0
151,⊕,Iowa Democratic Party,72825284566,"Donald Trump (15), Joni Ernst* (1)",2,"$27,025 ",16,"$267,544 ","1,313",NA,0
152,⊕,Jose Javier Rodriguez,2.96915E+14,"Donald Trump (1), Joseph Biden (1)",2,"$29,836 ",2,"$29,836 ",167,NA,0
153,⊕,Judicial Watch,92925746942,"Donald Trump (129), Joseph Biden (64)",2,"$44,126 ",193,"$1,218,196 ","69,343",JUDICIAL WATCH,0
154,⊕,Katrina Pierson,1.47543E+14,"Donald Trump (690), Joseph Biden (493)",2,"$104,423 ","1,183","$104,423 ","3,413","TRUMP, DONALD J.",1
155,⊕,Latinos for Trump,6.12701E+14,"Donald Trump (4532), Joseph Biden (706)",2,"$220,404 ","5,238","$220,404 ","27,154","TRUMP, DONALD J.",1
156,⊕,Law Enforcement For A Safer America PAC,1.01182E+14,"Donald Trump (12), Joseph Biden (4)",2,"$39,544 ",16,"$39,544 ",261,LAW ENFORCEMENT FOR A SAFER AMERICA PAC,0
157,⊕,Leading Colorado Forward,1.0231E+14,"Donald Trump (16), Mitch McConnell* (16)",2,"$49,482 ",32,"$49,482 ","1,712",NA,0
158,⊕,Meidas Touch,1.04615E+14,"Donald Trump (1), Donald Trump (1)",2,"$101,858 ",2,"$271,966 ","12,676","BRETT ADAM MEISELAS, MEIDASTOUCH",0
159,⊕,Mike Pence,6726182861,"Donald Trump (44807), Joseph Biden (11485)",2,"$7,559,634 ","56,292","$10,558,438 ","158,979","MIKE PENCE, TRUMP, DONALD J.",1
160,⊕,Minnesotans for Line 3,4.35918E+14,"Donald Trump (1), Joseph Biden (1)",2,"$50,936 ",2,"$50,936 ","1,307",NA,0
161,⊕,Nancy Pelosi Elects Democrats,1.01617E+14,"Donald Trump (270), Mitch McConnell* (254)",2,"$436,274 ",524,"$1,047,857 ","12,369",PAC TO THE FUTURE,0
162,⊕,National Democratic Redistricting Committee,1.16666E+15,"Donald Trump (18), Mitch McConnell* (18)",2,"$60,200 ",36,"$60,200 ","3,169","NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE, NATIONAL DEMOCRATIC REDISTRICTING PAC",0
163,⊕,Newsmax,85452072376,"Donald Trump (123), Joseph Biden (65)",2,"$65,144 ",188,"$861,858 ","6,234",NEWSMAX MEDIA,0
164,⊕,Nicole Galloway,1.49366E+14,"Joseph Biden (28), Donald Trump (14)",2,"$200,528 ",42,"$200,528 ","8,985",NA,0
165,⊕,No on Prop 22,1.10026E+14,"Joseph Biden (95), Joseph Biden (95)",2,"$26,586 ",190,"$145,127 ",884,"SLAM THE BRAKES ON UBER, LYFT, DOORDASH, INSTACART & POSTMATES, NO ON THEIR MISGUIDED MEASURE, SPONSORED BY LABOR ORGANIZATIONS. COMMITTEE MAJOR FUNDING FROM: TRANSPORT WORKERS UNION OF AMERICA, CALIFORNIA LABOR FEDERATION, AFL-CIO, AND SEIU CALIFORNIA STATE COUNCIL.",0
166,⊕,One North Carolina,1.11201E+14,"Thom Tillis* (50), Cal Cunningham* (27)",2,"$617,134 ",77,"$617,134 ",734,PRIORITIES USA ACTION; SENATE MAJORITY PAC,0
167,⊕,Patriot's Cave,1.00257E+14,"Donald Trump (295), Joseph Biden (4)",2,"$285,747 ",299,"$452,173 ","9,492",NA,0
168,⊕,Preserve America PAC,1.03473E+14,"Joseph Biden (226), Donald Trump (8)",2,"$1,093,618 ",234,"$1,093,618 ","1,522",PRESERVE AMERICA PAC,0
169,⊕,Promises Made Promises Kept,1.01655E+14,"Donald Trump (2393), Joseph Biden (1369)",2,"$95,487 ","3,762","$95,487 ","5,444","TRUMP, DONALD J.",1
170,⊕,Public Opinion Research Group,6.43464E+14,"Donald Trump (6992), Joseph Biden (4249)",2,"$483,573 ","11,241","$486,799 ","38,829",NA,0
171,⊕,Really American,9.2665E+14,"Donald Trump (127), Joseph Biden (89)",2,"$42,234 ",216,"$60,376 ",659,REALLY AMERICAN PAC,0
172,⊕,Republican Dogs,1.1471E+14,"Donald Trump (3908), Joseph Biden (10)",2,"$817,259 ","3,918","$1,176,697 ","89,543","REPUBLICAN DOGS, TRUMP COLLARS",0
173,⊕,Ronny Jackson for U.S. Congress TX-13,1.01724E+14,"Donald Trump (1079), Joseph Biden (167)",2,"$67,061 ","1,246","$136,129 ","15,341","JACKSON, RONNY LYNN",1
174,⊕,RootsAction,1.70005E+14,"Donald Trump (66), Joseph Biden (59)",2,"$52,816 ",125,"$73,476 ",779,NA,0
175,⊕,Royce West,3.79742E+14,"John Cornyn* (519), Donald Trump (213)",2,"$40,342 ",732,"$50,025 ","2,587","WEST, ROYCE",1
176,⊕,Sara Gideon Facts,1.0761E+14,"Sara Gideon* (2930), Susan Collins* (24)",2,"$193,493 ","2,954","$193,493 ","19,847",NATIONAL REPUBLICAN SENATORIAL CMTE,0
177,⊕,SEIU PA State Council,1.52562E+14,"Joseph Biden (118), Donald Trump (16)",2,"$35,834 ",134,"$96,641 ","1,923",NA,0
178,⊕,Slam The Brakes,1.10026E+14,"Joseph Biden (5), Joseph Biden (5)",2,"$26,586 ",10,"$145,127 ",884,"SLAM THE BRAKES ON UBER, LYFT, DOORDASH, INSTACART & POSTMATES, NO ON THEIR MISGUIDED MEASURE, SPONSORED BY LABOR ORGANIZATIONS. COMMITTEE MAJOR FUNDING FROM: TRANSPORT WORKERS UNION OF AMERICA, CALIFORNIA LABOR FEDERATION, AFL-CIO, AND SEIU CALIFORNIA STATE COUNCIL.",0
179,⊕,South Carolina Signal,1.06627E+14,"Lindsey Graham* (90), Donald Trump (36)",2,"$55,271 ",126,"$57,763 ","1,593","HARRISON, JAIME",1
180,⊕,Steve Daines: China's Cheerleader,1.08182E+14,"Steve Daines* (37), Donald Trump (4)",2,"$29,002 ",41,"$29,002 ",358,DEMOCRATIC PARTY OF MONTANA,0
181,⊕,Still My President - Donald Trump,4.05469E+14,"Donald Trump (496), Joseph Biden (15)",2,"$137,431 ",511,"$177,469 ","3,749","RED STATE POLITICS LLC, STILL MY PRESIDENT",0
182,⊕,Stop Trump PAC,1.03185E+14,"Donald Trump (144), Joseph Biden (1)",2,"$157,844 ",145,"$157,844 ","2,024",STOP 45 PAC,0
183,⊕,Story Network Action,1.01329E+14,"Donald Trump (14), Mitch McConnell* (9)",2,"$216,825 ",23,"$216,825 ",304,NA,0
184,⊕,Team Trump,1.77116E+15,"Donald Trump (54057), Joseph Biden (16205)",2,"$13,343,734 ","70,262","$13,398,214 ","190,915","TRUMP, DONALD J.",1
185,⊕,The Gander Newsroom,1.10747E+14,"Donald Trump (30), Donald Trump (30)",2,"$235,548 ",60,"$535,636 ","3,831",COURIER NEWSROOM,0
186,⊕,The Hamilton Collection,15188122178,"Donald Trump (75), Joseph Biden (1)",2,"$254,142 ",76,"$364,224 ",993,NA,0
187,⊕,The Keystone,1.14971E+14,"Donald Trump (182), Joseph Biden (125)",2,"$108,230 ",307,"$533,038 ","7,286",COURIER NEWSROOM,0
188,⊕,The Kids Guide,1.04857E+14,"Donald Trump (400), Joseph Biden (6)",2,"$861,697 ",406,"$1,260,672 ","4,260",NA,0
189,⊕,The Real Steve Bullock,1.13438E+14,"Steve Bullock* (94), Dylan Billings* (2)",2,"$251,200 ",96,"$251,200 ",957,NATIONAL REPUBLICAN SENATORIAL CMTE,0
190,⊕,Trump for Arizona,1.09945E+14,"Donald Trump (517), Joseph Biden (48)",2,"$68,832 ",565,"$68,832 ","1,859","TRUMP, DONALD J.",1
191,⊕,Trump For Florida,1.14904E+14,"Donald Trump (757), Joseph Biden (48)",2,"$163,184 ",805,"$163,184 ","2,068","TRUMP, DONALD J.",1
192,⊕,Trump For Georgia,1.1248E+14,"Donald Trump (499), Joseph Biden (47)",2,"$61,772 ",546,"$61,772 ","1,726","TRUMP, DONALD J.",1
193,⊕,Trump For Iowa,1.05404E+14,"Donald Trump (658), Joseph Biden (55)",2,"$28,566 ",713,"$28,566 ","1,910","TRUMP, DONALD J.",1
194,⊕,Trump For Michigan,1.0548E+14,"Donald Trump (654), Joseph Biden (56)",2,"$47,309 ",710,"$47,309 ","2,434","TRUMP, DONALD J.",1
195,⊕,Trump For North Carolina,1.00557E+14,"Donald Trump (464), Joseph Biden (48)",2,"$93,741 ",512,"$93,741 ","1,768","TRUMP, DONALD J.",1
196,⊕,Trump for Ohio,1.09132E+14,"Donald Trump (444), Joseph Biden (57)",2,"$57,003 ",501,"$57,003 ","1,940","TRUMP, DONALD J.",1
197,⊕,Trump for Pennsylvania,1.02941E+14,"Donald Trump (647), Joseph Biden (54)",2,"$146,064 ",701,"$146,064 ","2,492","TRUMP, DONALD J.",1
198,⊕,Trump for Wisconsin,1.00544E+14,"Donald Trump (510), Joseph Biden (58)",2,"$55,862 ",568,"$55,862 ","1,902","TRUMP, DONALD J.",1
199,⊕,U.S. Chamber Action,1.09231E+14,"Thom Tillis* (15), Susan Collins* (4)",2,"$75,826 ",19,"$151,004 ",421,US CHAMBER OF COMMERCE,0
200,⊕,Unite the Country,1.04684E+14,"Joseph Biden (412), Donald Trump (77)",2,"$68,644 ",489,"$785,791 ","3,882",UNITE THE COUNTRY,0
201,⊕,United Research Group,1.01182E+14,"Donald Trump (9444), Joseph Biden (3308)",2,"$751,343 ","12,752","$1,072,015 ","47,493",NA,0
202,⊕,UpNorthNews,1.0254E+14,"Donald Trump (158), Joseph Biden (90)",2,"$222,481 ",248,"$343,034 ","3,189",NA,0
203,⊕,Valerie Plame,3.2125E+14,"Mitch McConnell* (40), Donald Trump (27)",2,"$39,384 ",67,"$105,427 ","2,954","PLAME, VALERIE",1
204,⊕,Veterans for Trump,1.0537E+14,"Donald Trump (1396), Joseph Biden (341)",2,"$46,997 ","1,737","$46,997 ","7,294","TRUMP, DONALD J.",1
205,⊕,Vote By Mail PAC,1.08557E+14,"Donald Trump (69), Joseph Biden (14)",2,"$42,553 ",83,"$42,553 ","1,299",NA,0
206,⊕,Voter Rights Action,1.34729E+14,"Mitch McConnell* (119), Donald Trump (114)",2,"$120,824 ",233,"$120,824 ","3,206",NA,0
207,⊕,Women for Trump,7.06717E+14,"Donald Trump (5159), Joseph Biden (783)",2,"$693,217 ","5,942","$693,217 ","30,918","TRUMP, DONALD J.",1
208,⊕,Working People's Platform,1.08386E+14,"Joseph Biden (115), Donald Trump (32)",2,"$50,726 ",147,"$70,874 ","2,917",NA,0
209,⊕,Yahoo News,3.38029E+11,"Joseph Biden (3), Donald Trump (1)",2,"$197,294 ",4,"$197,294 ",104,NA,0
210,⊕,YouGov,9.34438E+14,"Donald Trump (1084), Joseph Biden (481)",2,"$43,378 ","1,565","$223,175 ","35,080",NA,0
211,⊕,A Better Arizona,1.05783E+14,Martha McSally* (171),1,"$547,014 ",171,"$637,586 ","1,933",PRIORITIES USA; MAJORITY FORWARD,0
212,⊕,A Stronger Maine,1.00987E+14,Susan Collins* (96),1,"$43,910 ",96,"$210,080 ","1,417",PRIORITIES USA; MAJORITY FORWARD,0
213,⊕,AAPI Vote 2020,1.02097E+14,Donald Trump (64),1,"$32,905 ",64,"$32,905 ",477,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,0
214,⊕,America Votes Trump Out,1.01229E+14,Donald Trump (305),1,"$335,081 ",305,"$335,081 ",722,TECH FOR CAMPAIGNS,0
215,⊕,Anna Paulina Luna,1.41939E+15,Donald Trump (153),1,"$79,348 ",153,"$268,809 ","1,560","PAULINA LUNA, ANNA",1
216,⊕,Artsiful,1.16239E+14,Donald Trump (119),1,"$39,239 ",119,"$39,239 ","3,376",NA,0
217,⊕,Better Future MI Fund,1.05685E+14,Gary Peters* (17),1,"$31,484 ",17,"$31,484 ",131,BETTER FUTURE MI FUND,0
218,⊕,Better Future Michigan,1.31642E+15,Gary Peters* (33),1,"$80,667 ",33,"$81,704 ",631,BETTER FUTURE MICHIGAN,0
219,⊕,Bluestem Kansas,2.98271E+14,Donald Trump (61),1,"$26,076 ",61,"$26,076 ","7,854",NA,0
220,⊕,Brave New Look,1.13678E+15,Joseph Biden (21),1,"$43,526 ",21,"$53,864 ",963,NA,0
221,⊕,Bring Ammo,1.09854E+14,Donald Trump (39),1,"$27,300 ",39,"$32,821 ",182,MICHAEL SETH WEATHERS,0
222,⊕,Candace Owens,1.59352E+15,Donald Trump (103),1,"$192,090 ",103,"$808,494 ","3,974",NA,0
223,⊕,Color Of Change PAC,1.55268E+15,Donald Trump (3255),1,"$129,849 ","3,255","$515,896 ","34,155","COLOR OF CHANGE, PRIORITIES USA ACTION; COLOR OF CHANGE PAC",0
224,⊕,Confide in American Pride,1.02137E+14,Donald Trump (1),1,"$32,932 ",1,"$32,932 ",74,NA,0
225,⊕,Conservative Collections,7.37686E+14,Donald Trump (11981),1,"$141,248 ","11,981","$141,910 ","30,697",NA,0
226,⊕,Convention on Founding Principles,1.02478E+14,Donald Trump (62),1,"$52,618 ",62,"$58,602 ",986,NA,0
227,⊕,Cooking With Hope,1.28192E+14,Donald Trump (2),1,"$41,040 ",2,"$41,040 ",133,NA,0
228,⊕,Corrupt Thom Tillis,1.04988E+14,Thom Tillis* (2),1,"$56,762 ",2,"$56,762 ",22,DEMOCRATIC SENATORIAL CAMPAIGN CMTE,0
229,⊕,DC Fawcett,1.76467E+14,Donald Trump (4462),1,"$47,998 ","4,462","$99,444 ","32,184",NA,0
230,⊕,Defeat By Tweet,1.00392E+14,Donald Trump (653),1,"$87,530 ",653,"$820,847 ","6,683",DEFEAT BY TWEET,0
231,⊕,Defend NC,1.15093E+14,Donald Trump (1),1,"$81,304 ",1,"$81,304 ","1,460",NA,0
232,⊕,DNC War Room,4.14507E+14,Donald Trump (479),1,"$64,043 ",479,"$64,043 ","1,228",DEMOCRATIC NATIONAL CMTE,0
233,⊕,Fearless Patriot,1.0936E+14,Donald Trump (19),1,"$38,034 ",19,"$75,346 ",958,NA,0
234,⊕,Florida Votes Trump Out,1.01575E+14,Donald Trump (171),1,"$265,440 ",171,"$265,440 ",554,TECH FOR CAMPAIGNS,0
235,⊕,Hablemos Claro USA,1.02711E+14,Donald Trump (325),1,"$128,181 ",325,"$259,772 ","5,979",PRIORITIES USA ACTION,0
236,⊕,Hiding Hickenlooper,1.08488E+14,John Hickenlooper* (17),1,"$27,243 ",17,"$27,243 ",163,NATIONAL REPUBLICAN SENATORIAL CMTE,0
237,⊕,Hollywood Jon Ossoff,1.07868E+14,Jon Ossoff* (25),1,"$85,219 ",25,"$85,219 ",176,NATIONAL REPUBLICAN SENATORIAL CMTE,0
238,⊕,I Love My Freedom,2.0065E+14,Donald Trump (2017),1,"$250,897 ","2,017","$595,063 ","12,114",NA,0
239,⊕,I Love My Freedom Store,1.02671E+14,Donald Trump (848),1,"$369,333 ",848,"$680,640 ","13,152",NA,0
240,⊕,Iowa Values Action PAC,1.02726E+14,Theresa Greenfield* (6),1,"$38,556 ",6,"$38,556 ",84,IOWA VALUES ACTION,0
241,⊕,Jim Jordan for Congress,7814597100,Donald Trump (111),1,"$81,032 ",111,"$975,253 ","11,050","JORDAN, JAMES D.",1
242,⊕,Joni Ernst Isnt On Our Side,1.03571E+14,Joni Ernst* (128),1,"$108,461 ",128,"$108,461 ","1,276",DEMOCRATIC SENATORIAL CAMPAIGN CMTE,0
243,⊕,Keep America Great,1.02563E+14,Donald Trump (13),1,"$38,986 ",13,"$38,986 ",103,NA,0
244,⊕,Keep America Great,3.83877E+14,Donald Trump (160),1,"$163,512 ",160,"$206,498 ","6,379",NA,0
245,⊕,Keep Kentucky Great,1.05415E+14,Amy McGrath* (134),1,"$47,646 ",134,"$47,646 ",476,KEEP KENTUCKY GREAT,0
246,⊕,Keep Trump In Office,1.02876E+14,Donald Trump (6104),1,"$99,665 ","6,104","$100,413 ","44,496",KEEP TRUMP IN OFFICE,0
247,⊕,Keeping America Great Again,3.45504E+14,Donald Trump (61),1,"$775,948 ",61,"$1,083,475 ","3,276",NA,0
248,⊕,Lemons Are Blue,3.22552E+14,Donald Trump (1626),1,"$64,286 ","1,626","$113,721 ","27,184",NA,0
249,⊕,Let's Turn Colorado Blue,1.02846E+14,Andrew Romanoff* (42),1,"$79,245 ",42,"$79,245 ",185,LET'S TURN COLORADO BLUE,0
250,⊕,Liberteeclub,2.25632E+15,Donald Trump (795),1,"$31,947 ",795,"$31,947 ","12,400",NA,0
251,⊕,Massachusetts Majority IE PAC,1.00628E+14,Susan Collins* (3),1,"$31,499 ",3,"$31,499 ",436,NA,0
252,⊕,Michigan Values,1.04034E+14,John James* (8),1,"$147,215 ",8,"$147,215 ",107,SENATE MAJORITY PAC,0
